kalshi_ticker,poly_slug,date,poly_result,kalshi_result,poly_price,matching
KXNHLGAME-26FEB05FLATB-FLA,nhl-fla-tb-2026-02-05,2026-01-09T16:34:36.645546Z,no,no,0.001,1
KXNHLGAME-26FEB05NSHWSH-NSH,nhl-nsh-wsh-2026-02-05,2026-01-09T16:34:35.958555Z,no,no,0.001,1
KXNHLGAME-26FEB05CARNYR-CAR,nhl-car-nyr-2026-02-05,2026-01-09T16:34:36.215388Z,yes,yes,0.999,1
KXNHLGAME-26FEB05OTTPHI-OTT,nhl-ott-phi-2026-02-05,2026-01-09T16:34:35.701247Z,yes,yes,0.999,1
KXNHLGAME-26FEB04BOSFLA-BOS,nhl-bos-fla-2026-02-04,2026-01-08T16:31:33.651529Z,no,no,0.001,1
KXNHLGAME-26FEB04MTLWPG-MTL,nhl-mon-wpg-2026-02-04,2026-01-08T16:31:33.906894Z,yes,yes,0.999,1
KXNHLGAME-26FEB04MINNSH-MIN,nhl-min-nsh-2026-02-04,2026-01-08T16:31:32.808191Z,yes,yes,0.999,1
KXNHLGAME-26FEB03BUFTB-BUF,nhl-buf-tb-2026-02-03,2026-01-07T16:31:27.553213Z,no,no,0.001,1
KXNHLGAME-26FEB03CBJNJ-CBJ,nhl-cbj-nj-2026-02-03,2026-01-07T16:31:28.326326Z,yes,yes,0.999,1
KXNHLGAME-26FEB02OTTPIT-OTT,nhl-ott-pit-2026-02-02,2026-01-06T16:31:23.108629Z,yes,yes,0.999,1
KXNHLGAME-26FEB02BUFFLA-BUF,nhl-buf-fla-2026-02-02,2026-01-06T16:31:23.364733Z,yes,yes,0.999,1
KXNHLGAME-26FEB02NYIWSH-NYI,nhl-nyi-wsh-2026-02-02,2026-01-06T16:31:23.877213Z,no,no,0.001,1
KXNHLGAME-26FEB01BOSTB-BOS,nhl-bos-tb-2026-02-01,2026-01-05T16:31:29.102699Z,no,no,0.001,1
KXNHLGAME-26JAN31NSHNYI-NSH,nhl-nsh-nyi-2026-01-31,2026-01-04T16:31:35.284664Z,yes,yes,0.999,1
KXNHLGAME-26JAN31TORVAN-TOR,nhl-tor-van-2026-01-31,2026-01-04T16:31:29.057857Z,yes,yes,0.999,1
KXNHLGAME-26JAN31NJOTT-NJ,nhl-nj-ott-2026-01-31,2026-01-04T16:31:27.1819Z,no,no,0.001,1
KXNHLGAME-26JAN31CBJSTL-CBJ,nhl-cbj-stl-2026-01-31,2026-01-04T16:31:29.836054Z,yes,yes,0.999,1
KXNHLGAME-26JAN31CARWSH-CAR,nhl-car-wsh-2026-01-31,2026-01-04T16:31:29.577381Z,no,no,0.001,1
KXNHLGAME-26JAN31NYRPIT-NYR,nhl-nyr-pit-2026-01-31,2026-01-04T16:31:28.207861Z,no,no,0.001,1
KXNHLGAME-26JAN31COLDET-COL,nhl-col-det-2026-01-31,2026-01-04T16:31:27.438727Z,yes,yes,0.999,1
KXNHLGAME-26JAN30CBJCHI-CBJ,nhl-cbj-chi-2026-01-30,2026-01-03T16:31:23.042031Z,yes,yes,0.999,1
KXNHLGAME-26JAN29ANAVAN-ANA,nhl-ana-van-2026-01-29,2026-01-02T16:31:31.434837Z,no,no,0.001,1
KXNHLGAME-26JAN29FLASTL-FLA,nhl-fla-stl-2026-01-29,2026-01-02T16:31:31.690786Z,no,no,0.09,1
KXNHLGAME-26JAN29CHIPIT-CHI,nhl-chi-pit-2026-01-29,2026-01-02T16:31:18.95479Z,no,no,0.001,1
KXNHLGAME-26JAN29NYINYR-NYI,nhl-nyi-nyr-2026-01-29,2026-01-02T16:31:19.210987Z,yes,yes,0.999,1
KXNHLGAME-26JAN29COLMTL-COL,nhl-col-mon-2026-01-29,2026-01-02T16:31:27.960935Z,no,no,0.001,1
KXNHLGAME-26JAN28COLOTT-COL,nhl-col-ott-2026-01-28,2026-01-01T16:31:21.958814Z,no,no,0.001,1
KXNHLGAME-26JAN27SJVAN-SJ,nhl-sj-van-2026-01-27,2025-12-31T16:31:28.777437Z,yes,yes,0.999,1
KXNHLGAME-26JAN27DALSTL-DAL,nhl-dal-stl-2026-01-27,2025-12-31T16:31:27.344805Z,yes,yes,0.999,1
KXNHLGAME-26JAN27CHIMIN-CHI,nhl-chi-min-2026-01-27,2025-12-31T16:31:29.03447Z,no,no,0.001,1
KXNHLGAME-26JAN27BUFTOR-BUF,nhl-buf-tor-2026-01-27,2025-12-31T16:31:26.016413Z,yes,yes,0.999,1
KXNHLGAME-26JAN26NYIPHI-NYI,nhl-nyi-phi-2026-01-26,2025-12-30T16:31:25.715538Z,yes,yes,0.999,1
KXNHLGAME-26JAN26ANAEDM-ANA,nhl-ana-edm-2026-01-26,2025-12-30T16:31:26.668037Z,no,no,0.001,1
KXNHLGAME-26JAN26BOSNYR-BOS,nhl-bos-nyr-2026-01-26,2025-12-30T16:31:25.197937Z,no,no,0.001,1
KXNHLGAME-26JAN25PITVAN-PIT,nhl-pit-van-2026-01-25,2025-12-29T16:31:27.748903Z,yes,yes,0.999,1
KXNHLGAME-26JAN25COLTOR-COL,nhl-col-tor-2026-01-25,2025-12-29T16:31:28.518562Z,yes,yes,0.999,1
KXNHLGAME-26JAN25NJSEA-NJ,nhl-nj-sea-2026-01-25,2025-12-29T16:31:28.26219Z,no,no,0.001,1
KXNHLGAME-26JAN24FLAMIN-FLA,nhl-fla-min-2026-01-24,2025-12-28T16:31:26.646464Z,yes,yes,0.999,1
KXNHLGAME-26JAN24CAROTT-CAR,nhl-car-ott-2026-01-24,2025-12-28T16:31:26.132496Z,yes,yes,0.999,1
KXNHLGAME-26JAN24DETWPG-DET,nhl-det-wpg-2026-01-24,2025-12-28T16:31:25.876523Z,yes,yes,0.999,1
KXNHLGAME-26JAN24BUFNYI-BUF,nhl-buf-nyi-2026-01-24,2025-12-28T16:31:22.965913Z,yes,yes,0.999,1
KXNHLGAME-26JAN23NYRSJ-NYR,nhl-nyr-sj-2026-01-23,2025-12-27T16:31:23.848034Z,no,no,0.01,1
KXNHLGAME-26JAN23NJVAN-NJ,nhl-nj-van-2026-01-23,2025-12-27T16:31:25.491219Z,yes,yes,0.999,1
KXNHLGAME-26JAN23ANASEA-ANA,nhl-ana-sea-2026-01-23,2025-12-27T16:31:23.591787Z,yes,yes,0.999,1
KXNHLGAME-26JAN22DETMIN-DET,nhl-det-min-2026-01-22,2025-12-26T16:31:30.762612Z,no,no,0.001,1
KXNHLGAME-26JAN22FLAWPG-FLA,nhl-fla-wpg-2026-01-22,2025-12-26T16:31:26.887069Z,yes,yes,0.999,1
KXNHLGAME-26JAN22BUFMTL-BUF,nhl-buf-mon-2026-01-22,2025-12-26T16:31:07.087967Z,yes,yes,0.999,1
KXNHLGAME-26JAN21NYISEA-NYI,nhl-nyi-sea-2026-01-21,2025-12-25T16:31:28.536503Z,no,no,0.001,1
KXNHLGAME-26JAN21DETTOR-DET,nhl-det-tor-2026-01-21,2025-12-25T16:31:22.432013Z,yes,yes,0.999,1
KXNHLGAME-26JAN21ANACOL-ANA,nhl-ana-col-2026-01-21,2025-12-25T16:31:24.539028Z,yes,yes,0.999,1
KXNHLGAME-26JAN20MINMTL-MIN,nhl-min-mon-2026-01-20,2025-12-24T16:31:28.990162Z,no,no,0.001,1
KXNHLGAME-26JAN20STLWPG-STL,nhl-stl-wpg-2026-01-20,2025-12-24T16:31:28.732965Z,no,no,0.01,1
KXNHLGAME-26JAN20BOSDAL-BOS,nhl-bos-dal-2026-01-20,2025-12-24T16:31:28.476506Z,no,no,0.001,1
KXNHLGAME-26JAN20BUFNSH-BUF,nhl-buf-nsh-2026-01-20,2025-12-24T16:31:29.679988Z,yes,yes,0.999,1
KXNHLGAME-26JAN20SJTB-SJ,nhl-sj-tb-2026-01-20,2025-12-24T16:31:29.936983Z,no,no,0.001,1
KXNHLGAME-26JAN19NYIVAN-NYI,nhl-nyi-van-2026-01-19,2025-12-23T16:31:21.174183Z,yes,yes,0.999,1
KXNHLGAME-26JAN19MINTOR-MIN,nhl-min-tor-2026-01-19,2025-12-23T16:31:15.089231Z,yes,yes,0.999,1
KXNHLGAME-26JAN19PITSEA-PIT,nhl-pit-sea-2026-01-19,2025-12-23T16:31:20.846561Z,yes,yes,0.999,1
KXNHLGAME-26JAN19BUFCAR-BUF,nhl-buf-car-2026-01-19,2025-12-23T16:31:17.960401Z,no,no,0.001,1
KXNHLGAME-26JAN17EDMVAN-EDM,nhl-edm-van-2026-01-17,2025-12-21T16:31:36.595Z,yes,yes,0.999,1
KXNHLGAME-26JAN17BOSCHI-BOS,nhl-bos-chi-2026-01-17,2025-12-21T16:31:36.851567Z,yes,yes,0.999,1
KXNHLGAME-26JAN17FLAWSH-FLA,nhl-fla-wsh-2026-01-17,2025-12-21T16:31:20.413378Z,yes,yes,0.999,1
KXNHLGAME-26JAN17CARNJ-CAR,nhl-car-nj-2026-01-17,2025-12-21T16:31:23.832389Z,yes,yes,0.999,1
KXNHLGAME-26JAN17MTLOTT-MTL,nhl-mon-ott-2026-01-17,2025-12-21T16:31:22.4767Z,yes,yes,0.999,1
KXNHLGAME-26JAN17TORWPG-TOR,nhl-tor-wpg-2026-01-17,2025-12-21T16:31:22.73343Z,yes,yes,0.999,1
KXNHLGAME-26JAN17CBJPIT-CBJ,nhl-cbj-pit-2026-01-17,2025-12-21T16:31:21.963163Z,yes,yes,0.999,1
KXNHLGAME-26JAN17NYRPHI-NYR,nhl-nyr-phi-2026-01-17,2025-12-21T16:31:18.236027Z,yes,yes,0.999,1
KXNHLGAME-26JAN15SJWSH-SJ,nhl-sj-wsh-2026-01-15,2025-12-19T16:31:11.655799Z,yes,yes,0.999,1
KXNHLGAME-26JAN15PHIPIT-PHI,nhl-phi-pit-2026-01-15,2025-12-19T16:31:20.221959Z,no,no,0.018,1
KXNHLGAME-26JAN13CARSTL-CAR,nhl-car-stl-2026-01-13,2025-12-17T16:31:26.934476Z,no,no,0.001,1
KXNHLGAME-26JAN13EDMNSH-EDM,nhl-edm-nsh-2026-01-13,2025-12-17T16:31:27.447009Z,no,no,0.001,1
KXNHLGAME-26JAN13NYIWPG-NYI,nhl-nyi-wpg-2026-01-13,2025-12-17T16:31:27.191273Z,no,no,0.001,1
KXNHLGAME-26JAN13MTLWSH-MTL,nhl-mon-wsh-2026-01-13,2025-12-17T16:31:25.64449Z,no,no,0.001,1
KXNHLGAME-26JAN12CARDET-CAR,nhl-car-det-2026-01-12,2025-12-16T16:31:11.737979Z,no,no,0.001,1
KXNHLGAME-26JAN11NJWPG-NJ,nhl-nj-wpg-2026-01-11,2025-12-15T16:31:21.731742Z,no,no,0.001,1
KXNHLGAME-26JAN10DETMTL-DET,nhl-det-mon-2026-01-10,2025-12-14T16:37:47.416838Z,yes,yes,0.999,1
KXNHLGAME-26JAN10CHINSH-CHI,nhl-chi-nsh-2026-01-10,2025-12-14T16:37:48.966618Z,yes,yes,0.999,1
KXNHLGAME-26JAN10ANABUF-ANA,nhl-ana-buf-2026-01-10,2025-12-14T16:37:48.710748Z,no,no,0.001,1
KXNHLGAME-26JAN10FLAOTT-FLA,nhl-fla-ott-2026-01-10,2025-12-14T16:37:48.454949Z,yes,yes,0.999,1
KXNHLGAME-26JAN10CBJCOL-CBJ,nhl-cbj-col-2026-01-10,2025-12-14T16:37:48.199252Z,no,no,0.006,1
KXNHLGAME-26JAN10DALSJ-DAL,nhl-dal-sj-2026-01-10,2025-12-14T16:37:46.624646Z,no,no,0.001,1
KXNHLGAME-26JAN08MINSEA-MIN,nhl-min-sea-2026-01-08,2025-12-12T16:31:28.651859Z,yes,yes,0.999,1
KXNHLGAME-26JAN08EDMWPG-EDM,nhl-edm-wpg-2026-01-08,2025-12-12T16:31:27.888157Z,yes,yes,0.999,1
KXNHLGAME-26JAN08ANACAR-ANA,nhl-ana-car-2026-01-08,2025-12-12T16:31:24.334327Z,no,no,0.009,1
KXNHLGAME-26JAN08BUFNYR-BUF,nhl-buf-nyr-2026-01-08,2025-12-12T16:31:23.029512Z,yes,yes,0.999,1
KXNHLGAME-26JAN08NJPIT-NJ,nhl-nj-pit-2026-01-08,2025-12-12T16:31:23.540551Z,no,no,0.001,1
KXNHLGAME-26JAN08FLAMTL-FLA,nhl-fla-mon-2026-01-08,2025-12-12T16:31:24.079406Z,no,no,0.001,1
KXNHLGAME-26JAN07DALWSH-DAL,nhl-dal-wsh-2026-01-07,2025-12-11T17:51:58.572168Z,yes,yes,0.999,1
KXNHLGAME-26JAN06CBJSJ-CBJ,nhl-cbj-sj-2026-01-06,2025-12-10T16:31:25.23715Z,no,no,0.001,1
KXNHLGAME-26JAN06BOSSEA-BOS,nhl-bos-sea-2026-01-06,2025-12-10T16:31:26.953663Z,no,no,0.001,1
KXNHLGAME-26JAN06FLATOR-FLA,nhl-fla-tor-2026-01-06,2025-12-10T16:31:24.319305Z,no,no,0.002,1
KXNHLGAME-26JAN06ANAPHI-ANA,nhl-ana-phi-2026-01-06,2025-12-10T16:31:22.098619Z,no,no,0.001,1
KXNHLGAME-26JAN06COLTB-COL,nhl-col-tb-2026-01-06,2025-12-10T16:31:24.575378Z,no,no,0.001,1
KXNHLGAME-26JAN06NJNYI-NJ,nhl-nj-nyi-2026-01-06,2025-12-10T16:31:26.00625Z,no,no,0.001,1
KXNHLGAME-26JAN05DETOTT-DET,nhl-det-ott-2026-01-05,2025-12-09T16:36:46.33069Z,yes,yes,1.0,1
KXNHLGAME-26JAN05ANAWSH-WSH,nhl-ana-wsh-2026-01-05,2025-12-09T16:36:45.819926Z,yes,yes,1.0,1
KXNHLGAME-26JAN04CARNJ-CAR,nhl-car-nj-2026-01-04,2025-12-08T16:39:06.814045Z,yes,yes,1.0,1
KXNHLGAME-26JAN04COLFLA-FLA,nhl-col-fla-2026-01-04,2025-12-08T16:39:06.558824Z,yes,yes,1.0,1
KXNHLGAME-26JAN03BOSVAN-BOS,nhl-bos-van-2026-01-03,2025-12-07T16:31:25.613677Z,yes,yes,1.0,1
KXNHLGAME-26JAN03CHIWSH-CHI,nhl-chi-wsh-2026-01-03,2025-12-07T16:31:24.073248Z,yes,yes,1.0,1
KXNHLGAME-26JAN03MTLSTL-STL,nhl-mon-stl-2026-01-03,2025-12-07T16:31:21.446371Z,yes,yes,1.0,1
KXNHLGAME-26JAN03BUFCBJ-CBJ,nhl-buf-cbj-2026-01-03,2025-12-07T16:31:21.700397Z,yes,yes,1.0,1
KXNHLGAME-26JAN02SEAVAN-SEA,nhl-sea-van-2026-01-02,2025-12-06T16:31:29.671416Z,yes,yes,1.0,1
KXNHLGAME-26JAN01NSHSEA-SEA,nhl-nsh-sea-2026-01-01,2025-12-05T16:31:19.735186Z,yes,yes,1.0,1
