kalshi_ticker,poly_slug,date,poly_result,kalshi_result,poly_price,matching
KXNHLGAME-25OCT23ANABOS-BOS,nhl-ana-bos-2025-10-23,2025-10-07T22:12:26.372625Z,yes,no,1.0,0
KXNHLGAME-25OCT23ANABOS-ANA,nhl-ana-bos-2025-10-23,2025-10-07T22:12:26.372625Z,yes,yes,1.0,1
KXNHLGAME-25NOV19BOSANA-BOS,,,,no,,0
KXNHLGAME-25NOV19BOSANA-ANA,,,,yes,,0
KXNHLGAME-26JAN10ANABUF-BUF,nhl-ana-buf-2026-01-10,2025-12-14T16:37:48.710748Z,no,yes,0.001,0
KXNHLGAME-26JAN10ANABUF-ANA,nhl-ana-buf-2026-01-10,2025-12-14T16:37:48.710748Z,no,no,0.001,1
KXNHLGAME-25OCT16CARANA-CAR,,,,yes,,0
KXNHLGAME-25OCT16CARANA-ANA,,,,no,,0
KXNHLGAME-26JAN08ANACAR-CAR,nhl-ana-car-2026-01-08,2025-12-12T16:31:24.334327Z,no,yes,0.009,0
KXNHLGAME-26JAN08ANACAR-ANA,nhl-ana-car-2026-01-08,2025-12-12T16:31:24.334327Z,no,no,0.009,1
KXNHLGAME-25DEC16ANACBJ-CBJ,nhl-ana-cbj-2025-12-16,2025-11-19T16:31:17.677104Z,yes,yes,1.0,1
KXNHLGAME-25DEC16ANACBJ-ANA,nhl-ana-cbj-2025-12-16,2025-11-19T16:31:17.677104Z,yes,no,1.0,0
KXNHLGAME-25DEC20CBJANA-CBJ,,,,no,,0
KXNHLGAME-25DEC20CBJANA-ANA,,,,yes,,0
KXNHLGAME-26JAN25ANACGY-CGY,,,,no,,0
KXNHLGAME-26JAN25ANACGY-ANA,,,,yes,,0
KXNHLGAME-25OCT19ANACHI-CHI,nhl-ana-chi-2025-10-19,2025-10-07T22:11:30.594985Z,yes,yes,1.0,1
KXNHLGAME-25OCT19ANACHI-ANA,nhl-ana-chi-2025-10-19,2025-10-07T22:11:30.594985Z,yes,no,1.0,0
KXNHLGAME-25NOV30ANACHI-CHI,nhl-ana-chi-2025-11-30,2025-11-03T16:31:23.082016Z,yes,yes,1.0,1
KXNHLGAME-25NOV30ANACHI-ANA,nhl-ana-chi-2025-11-30,2025-11-03T16:31:23.082016Z,yes,no,1.0,0
KXNHLGAME-25DEC07CHIANA-CHI,,,,no,,0
KXNHLGAME-25DEC07CHIANA-ANA,,,,yes,,0
KXNHLGAME-25NOV11ANACOL-COL,nhl-ana-col-2025-11-11,2025-10-15T15:31:14.286669Z,yes,yes,1.0,1
KXNHLGAME-25NOV11ANACOL-ANA,nhl-ana-col-2025-11-11,2025-10-15T15:31:14.286669Z,yes,no,1.0,0
KXNHLGAME-26JAN21ANACOL-COL,nhl-ana-col-2026-01-21,2025-12-25T16:31:24.539028Z,yes,no,0.999,0
KXNHLGAME-26JAN21ANACOL-ANA,nhl-ana-col-2026-01-21,2025-12-25T16:31:24.539028Z,yes,yes,0.999,1
KXNHLGAME-25NOV06ANADAL-DAL,nhl-ana-dal-2025-11-06,2025-10-10T15:31:34.784994Z,yes,no,1.0,0
KXNHLGAME-25NOV06ANADAL-ANA,nhl-ana-dal-2025-11-06,2025-10-10T15:31:34.784994Z,yes,yes,1.0,1
KXNHLGAME-25DEC19DALANA-DAL,,,,yes,,0
KXNHLGAME-25DEC19DALANA-ANA,,,,no,,0
KXNHLGAME-26JAN13DALANA-DAL,,,,no,,0
KXNHLGAME-26JAN13DALANA-ANA,,,,yes,,0
KXNHLGAME-25OCT31DETANA-DET,,,,no,,0
KXNHLGAME-25OCT31DETANA-ANA,,,,yes,,0
KXNHLGAME-25NOV13ANADET-DET,nhl-ana-det-2025-11-13,2025-10-17T15:31:14.903935Z,yes,yes,1.0,1
KXNHLGAME-25NOV13ANADET-ANA,nhl-ana-det-2025-11-13,2025-10-17T15:31:14.903935Z,yes,no,1.0,0
KXNHLGAME-26JAN26ANAEDM-EDM,nhl-ana-edm-2026-01-26,2025-12-30T16:31:26.668037Z,no,yes,0.001,0
KXNHLGAME-26JAN26ANAEDM-ANA,nhl-ana-edm-2026-01-26,2025-12-30T16:31:26.668037Z,no,no,0.001,1
KXNHLGAME-25OCT28ANAFLA-FLA,nhl-ana-fla-2025-10-28,2025-10-07T22:13:34.365105Z,yes,no,1.0,0
KXNHLGAME-25OCT28ANAFLA-ANA,nhl-ana-fla-2025-10-28,2025-10-07T22:13:34.365105Z,yes,yes,1.0,1
KXNHLGAME-25NOV04FLAANA-FLA,,,,no,,0
KXNHLGAME-25NOV04FLAANA-ANA,,,,yes,,0
KXNHLGAME-25SEP27ANALA-LA,nhl-ana-la-2025-09-27,2025-09-22T20:16:00.31061Z,yes,no,1.0,0
KXNHLGAME-25SEP27ANALA-ANA,nhl-ana-la-2025-09-27,2025-09-22T20:16:00.31061Z,yes,yes,1.0,1
KXNHLGAME-25OCT04ANALA-LA,nhl-ana-la-2025-10-04,2025-10-02T16:31:28.799635Z,yes,yes,1.0,1
KXNHLGAME-25OCT04ANALA-ANA,nhl-ana-la-2025-10-04,2025-10-02T16:31:28.799635Z,yes,no,1.0,0
KXNHLGAME-25NOV28LAANA-LA,,,,no,,0
KXNHLGAME-25NOV28LAANA-ANA,,,,yes,,0
KXNHLGAME-25DEC27ANALA-LA,,,,yes,,0
KXNHLGAME-25DEC27ANALA-ANA,,,,no,,0
KXNHLGAME-26JAN16ANALA-LA,,,,no,,0
KXNHLGAME-26JAN16ANALA-ANA,,,,yes,,0
KXNHLGAME-26JAN17LAANA-LA,,,,no,,0
KXNHLGAME-26JAN17LAANA-ANA,,,,yes,,0
KXNHLGAME-25NOV15ANAMIN-MIN,nhl-ana-min-2025-11-15,2025-10-19T15:31:13.429615Z,yes,yes,1.0,1
KXNHLGAME-25NOV15ANAMIN-ANA,nhl-ana-min-2025-11-15,2025-10-19T15:31:13.429615Z,yes,no,1.0,0
KXNHLGAME-26JAN02MINANA-MIN,,,,yes,,0
KXNHLGAME-26JAN02MINANA-ANA,,,,no,,0
KXNHLGAME-25NOV02NJANA-NJ,,,,no,,0
KXNHLGAME-25NOV02NJANA-ANA,,,,yes,,0
KXNHLGAME-25DEC13ANANJ-NJ,nhl-ana-nj-2025-12-13,2025-11-16T16:31:17.526404Z,yes,yes,1.0,1
KXNHLGAME-25DEC13ANANJ-ANA,nhl-ana-nj-2025-12-13,2025-11-16T16:31:17.526404Z,yes,no,1.0,0
KXNHLGAME-25OCT21ANANSH-NSH,nhl-ana-nsh-2025-10-21,2025-10-07T22:12:06.638492Z,yes,no,1.0,0
KXNHLGAME-25OCT21ANANSH-ANA,nhl-ana-nsh-2025-10-21,2025-10-07T22:12:06.638492Z,yes,yes,1.0,1
KXNHLGAME-25DEC11ANANYI-NYI,,,,yes,,0
KXNHLGAME-25DEC11ANANYI-ANA,,,,no,,0
KXNHLGAME-25DEC15ANANYR-NYR,,,,no,,0
KXNHLGAME-25DEC15ANANYR-ANA,,,,yes,,0
KXNHLGAME-26JAN19NYRANA-NYR,,,,no,,0
KXNHLGAME-26JAN19NYRANA-ANA,,,,yes,,0
KXNHLGAME-25NOV20OTTANA-OTT,,,,yes,,0
KXNHLGAME-25NOV20OTTANA-ANA,,,,no,,0
KXNHLGAME-26JAN06ANAPHI-PHI,nhl-ana-phi-2026-01-06,2025-12-10T16:31:22.098619Z,no,yes,0.001,0
KXNHLGAME-26JAN06ANAPHI-ANA,nhl-ana-phi-2026-01-06,2025-12-10T16:31:22.098619Z,no,no,0.001,1
KXNHLGAME-25OCT14PITANA-PIT,,,,no,,0
KXNHLGAME-25OCT14PITANA-ANA,,,,yes,,0
KXNHLGAME-25DEC09ANAPIT-PIT,,,,no,,0
KXNHLGAME-25DEC09ANAPIT-ANA,,,,yes,,0
KXNHLGAME-25OCT09ANASEA-SEA,nhl-ana-sea-2025-10-09,2025-10-03T16:31:32.084903Z,yes,yes,1.0,1
KXNHLGAME-25OCT09ANASEA-ANA,nhl-ana-sea-2025-10-09,2025-10-03T16:31:32.084903Z,yes,no,1.0,0
KXNHLGAME-25DEC22SEAANA-SEA,,,,yes,,0
KXNHLGAME-25DEC22SEAANA-ANA,,,,no,,0
KXNHLGAME-26JAN23ANASEA-SEA,nhl-ana-sea-2026-01-23,2025-12-27T16:31:23.591787Z,yes,no,0.999,0
KXNHLGAME-26JAN23ANASEA-ANA,nhl-ana-sea-2026-01-23,2025-12-27T16:31:23.591787Z,yes,yes,0.999,1
KXNHLGAME-26FEB03SEAANA-SEA,,,,no,,0
KXNHLGAME-26FEB03SEAANA-ANA,,,,yes,,0
KXNHLGAME-25SEP29SJANA-SJ,,,,no,,0
KXNHLGAME-25SEP29SJANA-ANA,,,,yes,,0
KXNHLGAME-25OCT01ANASJ-SJ,,,,no,,0
KXNHLGAME-25OCT01ANASJ-ANA,,,,yes,,0
KXNHLGAME-25OCT11ANASJ-SJ,nhl-ana-sj-2025-10-11,2025-10-05T15:31:28.883457Z,yes,no,1.0,0
KXNHLGAME-25OCT11ANASJ-ANA,nhl-ana-sj-2025-10-11,2025-10-05T15:31:28.883457Z,yes,yes,1.0,1
KXNHLGAME-25DEC29SJANA-SJ,,,,yes,,0
KXNHLGAME-25DEC29SJANA-ANA,,,,no,,0
KXNHLGAME-25DEC01ANASTL-STL,nhl-ana-stl-2025-12-01,2025-11-04T16:31:08.629944Z,yes,no,1.0,0
KXNHLGAME-25DEC01ANASTL-ANA,nhl-ana-stl-2025-12-01,2025-11-04T16:31:08.629944Z,yes,yes,1.0,1
KXNHLGAME-25OCT25ANATB-TB,nhl-ana-tb-2025-10-25,2025-10-07T22:12:54.977432Z,yes,yes,1.0,1
KXNHLGAME-25OCT25ANATB-ANA,nhl-ana-tb-2025-10-25,2025-10-07T22:12:54.977432Z,yes,no,1.0,0
KXNHLGAME-25DEC31TBANA-TB,,,,yes,,0
KXNHLGAME-25DEC31TBANA-ANA,,,,no,,0
KXNHLGAME-25NOV17UTAANA-UTA,,,,no,,0
KXNHLGAME-25NOV17UTAANA-ANA,,,,yes,,0
KXNHLGAME-25DEC03UTAANA-UTA,,,,yes,,0
KXNHLGAME-25DEC03UTAANA-ANA,,,,no,,0
KXNHLGAME-25NOV26VANANA-VAN,,,,yes,,0
KXNHLGAME-26JAN29ANAVAN-VAN,nhl-ana-van-2026-01-29,2026-01-02T16:31:31.434837Z,no,yes,0.001,0
KXNHLGAME-26JAN29ANAVAN-ANA,nhl-ana-van-2026-01-29,2026-01-02T16:31:31.434837Z,no,no,0.001,1
KXNHLGAME-25NOV08ANAVGK-VGK,,,,no,,0
KXNHLGAME-25NOV08ANAVGK-ANA,,,,yes,,0
KXNHLGAME-25NOV22VGKANA-VGK,,,,no,,0
KXNHLGAME-25NOV22VGKANA-ANA,,,,yes,,0
KXNHLGAME-26FEB01VGKANA-VGK,,,,no,,0
KXNHLGAME-26FEB01VGKANA-ANA,,,,yes,,0
KXNHLGAME-25NOV26VANANA-ANA,,,,no,,0
KXNHLGAME-25NOV09WPGANA-WPG,,,,no,,0
KXNHLGAME-25NOV09WPGANA-ANA,,,,yes,,0
KXNHLGAME-25DEC05WSHANA-WSH,,,,no,,0
KXNHLGAME-25DEC05WSHANA-ANA,,,,yes,,0
KXNHLGAME-26JAN05ANAWSH-WSH,nhl-ana-wsh-2026-01-05,2025-12-09T16:36:45.819926Z,yes,yes,1.0,1
KXNHLGAME-26JAN05ANAWSH-ANA,nhl-ana-wsh-2026-01-05,2025-12-09T16:36:45.819926Z,yes,no,1.0,0
KXNHLGAME-25OCT11BUFBOS-BUF,,,,no,,0
KXNHLGAME-25OCT11BUFBOS-BOS,,,,yes,,0
KXNHLGAME-25OCT30BUFBOS-BUF,,,,no,,0
KXNHLGAME-25OCT30BUFBOS-BOS,,,,yes,,0
